sp;lat;long;sex;biome;fac;pch;CS;LogCS;bio1;bio2;bio3;bio4;bio5;bio6;bio7;bio8;bio9;bio10;bio11;bio12;bio13;bio14;bio15;bio16;bio17;bio18;bio19;npp;humid;soilmoist
Sapajus_apella;-1.477914392;-56.37492323;F;Forest;AM;15;9.424606785;2.243324012;27.03333282;8.821332932;78.98757172;63.50279999;33.18000031;22.01199913;11.16800117;26.59399986;27.25533295;27.95533371;26.45800018;2482;401;80;55.51443863;1090;275;318;950;0.783999979;82;94.0707016
Sapajus_apella;-2.18919133;-54.91178962;F;Forest;AM;15;8.079264156;2.089300799;26.52600098;7.971333504;77.93639374;64.74720764;32.0359993;21.80800056;10.22799873;25.97266769;27.27000046;27.36533356;25.97266769;1767;321;25;72.17172241;868;103;144;868;0.824000001;83;82.6147995
Sapajus_apella;-2.597745966;-43.45908946;F;Forest;AM;15;8.550208799;2.145955704;27.18766594;9.197333336;81.27724457;48.79886246;33.10400009;21.78800011;11.31599998;26.77466583;27.84399986;27.8579998;26.75;1842;379;8;91.79764557;1031;28;80;1028;0.522000015;78;69.04119873
Sapajus_apella;-2.652293397;-55.72410329;F;Forest;AM;15;7.450828075;2.008325177;26.64299965;8.684000015;77.75788116;62.59736252;32.63199997;21.4640007;11.16799927;26.09933281;27.35199928;27.51399994;26.08133316;1985;320;36;62.33409882;898;144;196;844;0.796999991;85;89.72129822
Sapajus_apella;-3.138513992;-58.15840454;F;Forest;AM;15;8.198968488;2.104008352;27.07600021;8.512666702;78.50117493;59.46232224;32.79199982;21.94799995;10.84399986;26.49799919;27.79933357;27.94400024;26.49799919;2124;315;72;49.9899559;865;237;268;865;0.851999998;83;95.22879791
Sapajus_apella;-3.828342478;-55.49386438;F;Forest;AM;15;8.133908236;2.096041526;26.47316742;9.031666756;77.4585495;59.23439407;32.5359993;20.87599945;11.65999985;25.93533325;26.70999908;27.30200005;25.91133308;1943;306;50;55.88004684;833;192;244;797;0.819999993;86;88.81529999
Sapajus_apella;-6.6611;-69.8671;F;Forest;AM;15;9.262313848;2.225953893;25.92466736;10.66800022;82.54410553;43.09645462;31.97599983;19.05200005;12.92399979;25.89733315;25.35733414;26.38599968;25.35733414;2499;338;64;47.44225693;983;238;608;238;0.908999979;87;130.719101
Sapajus_apella;-7.276164354;-70.3003981;F;Forest;AM;15;10.37564765;2.339461489;25.22550011;10.41566658;81.49973297;48.75735474;31.09600067;18.31599998;12.78000069;25.3433342;24.50666809;25.6886673;24.50666809;2354;303;58;45.73307419;866;226;720;226;0.976000011;87;127.5351028
Sapajus_apella;-8.7525;-63.4557;F;Forest;AM;15;10.06173729;2.308103889;25.53566742;10.70600033;72.79032135;42.88504028;32.63199997;17.92399979;14.70800018;25.54933357;25.02666664;26.00733376;24.95800018;2239;352;17;67.3259201;1015;88;488;177;0.852999985;83;96.73549652
Sapajus_cay;-13.54848064;-51.41271861;F;Savanna;SV;17;7.821693616;2.056899276;25.82299995;12.83333397;68.86312866;116.7054977;34.15200043;15.51599979;18.63600159;26.34133339;24.18799973;26.8706665;24.12999916;1541;286;2;84.49493408;785;15;400;31;0.713;73;78.85220337
Sapajus_cay;-15.30560445;-57.54874872;F;Savanna;SV;17;7.942930777;2.072282323;24.95066643;12.8113327;70.73395538;155.7677307;32.20399857;14.09200001;18.11199951;26.23133278;22.67266655;26.23133278;22.67266655;1453;244;17;69.83621979;671;71;671;71;0.736000001;77;76.91220093
Sapajus_cay;-15.68364971;-56.06516544;F;Savanna;SV;17;8.33685194;2.11965416;25.26883316;12.07766628;66.25888062;150.8483582;33.29599762;15.06799984;18.22799683;26.45933342;23.12000084;26.47000122;23.12000084;1417;215;16;67.38227844;626;55;594;55;0.708999991;73;65.55570221
Sapajus_cay;-16.29101969;-57.97779757;F;Savanna;SV;17;8.879804109;2.183779497;26.13566589;12.58466625;66.44490814;187.6862183;34.12400055;15.18400002;18.94000053;27.40533257;23.43400002;27.84399986;23.43400002;1363;241;22;70.78385925;657;75;468;75;0.677999973;77;63.82180023
Sapajus_cay;-17.23322493;-56.01116673;F;Savanna;SV;17;8.225270874;2.107211229;25.36849976;11.71766663;63.09317398;200.1418152;33.40400314;14.83199978;18.57200241;26.87466621;22.4980011;27.07733345;22.4980011;1355;229;21;67.73196411;632;69;477;69;0.620000005;74;58.67219925
Sapajus_cay;-18.31716203;-54.74316009;F;Savanna;SV;17;7.89852449;2.066675969;24.1621666;12.32766724;64.17985535;199.5449066;32.23600006;13.02799988;19.20800018;25.60133362;21.35533333;25.92866707;21.32600021;1503;255;24;65.81768036;707;92;537;127;0.813000023;72;88.88430023
Sapajus_cay;-19.03164905;-57.63112629;F;Savanna;SV;17;8.488898806;2.138757052;25.88583374;10.31700039;63.03152847;229.9044189;33.24399948;16.87599945;16.36800003;27.93066788;22.79000092;28.02666664;22.71333313;1045;181;21;62.0209198;468;74;455;105;0.513000011;73;22.75200081
Sapajus_cay;-21.25853281;-51.91102927;F;Savanna;SV;17;7.833433152;2.058400875;23.24550056;10.81099987;61.49601746;252.716507;30.65200043;13.0720005;17.57999992;25.77200127;19.9173336;25.77200127;19.82933426;1094;177;23;57.28885651;486;90;486;131;0.832000017;69;85.07649994
Sapajus_cay;-21.4349177;-55.65515673;F;Savanna;SV;17;8.28974303;2.115018971;22.65049934;11.48700047;62.40221786;244.7049103;30.68799973;12.27999973;18.40800095;25.02400017;19.46666718;25.14999962;19.42000008;1424;190;41;40.98710632;519;154;515;226;0.456999987;73;114.6192017
Sapajus_cay;-21.72539022;-52.25076149;F;Savanna;SV;17;8.443159102;2.13335654;23.2998333;11.29699993;62.78902054;250.9065399;31.03199959;13.03999996;17.99200058;25.86533356;20.04066658;25.86533356;19.88733292;1173;167;33;48.01736832;487;128;487;161;0.550999999;70;101.5737
Sapajus_libidinosus;-14.29499253;-50.96342133;F;Savanna;SV;25;7.359081514;1.995935131;25.60750008;12.20166683;67.56182861;121.2664032;33.5;15.43999958;18.06000137;26.11266708;23.91266632;26.69466591;23.85466766;1542;281;4;84.74241638;764;16;424;36;0.60799998;71;77.1312027
Sapajus_libidinosus;-14.66720196;-39.4301321;F;Savanna;SV;25;8.793527428;2.174015931;23.41616631;6.705667019;62.11250687;141.6093292;28.56800079;17.77199936;10.79600143;24.81399918;22.40200043;25.00933266;21.52600098;1387;145;87;16.42799187;392;282;384;333;1.024000049;80;109.4287033
Sapajus_libidinosus;-16.35534286;-50.02114195;F;Savanna;SV;25;9.280464687;2.22791162;22.67866707;10.89866638;67.34223175;111.7825012;29.96800041;13.7840004;16.18400002;23.02866745;21.33600044;23.77933311;21.02599907;1712;292;10;77.95446777;831;40;473;62;0.648999989;70;84.98770142
Sapajus_libidinosus;-16.66932492;-49.37660678;F;Savanna;SV;25;7.990388069;2.078239328;22.90316582;10.94900036;68.55121613;116.0672455;30.07999992;14.1079998;15.97200012;23.30533218;21.49133301;24.02400017;21.16333389;1660;293;10;78.67543793;818;38;454;62;0.746999979;67;90.30120087
Sapajus_libidinosus;-17.50131153;-44.56084806;F;Savanna;SV;25;8.797682562;2.174488342;22.58433342;12.98600006;68.91318512;184.006485;30.53199959;11.68799973;18.84399986;23.85533333;19.95933342;24.0933342;19.95933342;988;205;3;93.05763245;574;14;429;14;0.647000015;69;55.44020081
Sapajus_libidinosus;-18.41683593;-49.19448856;F;Savanna;SV;25;7.863404598;2.062219668;23.58033371;12.71266651;68.7766037;180.3590393;31.24799919;12.76399994;18.48399925;24.81066513;21.13599968;24.97999954;20.88466644;1470;276;11;81.63548279;750;37;595;57;0.532000005;73;86.09680176
Sapajus_libidinosus;-18.65664968;-48.28687774;F;Savanna;SV;25;8.357825556;2.12311717;21.80833435;11.65266705;69.67630768;152.7482147;29.04400063;12.31999969;16.72400093;22.84666634;19.87733269;22.92933273;19.45866585;1543;321;10;85.82582855;814;33;389;47;0.601999998;71;87.2480011
Sapajus_libidinosus;-19.4232302;-48.30346523;F;Savanna;SV;25;8.901773539;2.186250531;21.7626667;12.00666714;68.43745422;166.9176178;29.2840004;11.73999977;17.54400063;23.03000069;19.57733345;23.06000137;19.2373333;1572;284;18;77.84453583;786;57;699;74;0.616999984;72;95.49749756
Sapajus_libidinosus;-7.9473;-39.296;F;Savanna;SV;25;8.669986554;2.15986724;24.12599945;10.72333336;69.86795044;150.2805786;31.76399994;16.41600037;15.34799957;24.79266739;23.73933411;25.70199966;22.0233326;669;178;2;100.1693115;404;17;185;30;0.245000005;61;29.2887001
Sapajus_nigritus;-19.79820319;-40.68281548;F;Forest;AF;19;9.286139569;2.228376437;22.25650024;10.50233269;63.06949615;197.2624207;30.1760006;13.52400017;16.65200043;23.7753334;19.71066666;24.62400055;19.71066666;1247;198;42;55.04610825;564;142;373;142;0.851000011;80;75.41369629
Sapajus_nigritus;-19.84573935;-40.55203918;F;Forest;AF;19;8.789662667;2.173576334;19.03116608;9.865666389;62.5517807;196.6887665;26.39999962;10.62800026;15.77199936;20.55999947;17.07866669;21.3793335;16.5019989;1346;203;50;49.24126816;579;172;398;172;0.851000011;80;75.41369629
Sapajus_nigritus;-23.97585942;-46.6185314;F;Forest;AF;19;9.120020096;2.210472008;18.19466591;7.779999733;52.35531235;248.0896759;25.14800072;10.28800011;14.86000061;21.25399971;15.16466713;21.25399971;15.16466713;2682;340;111;37.90048599;986;363;986;363;1.074000001;81;148.1051025
Sapajus_nigritus;-24.5105;-47.7003;F;Forest;AF;19;9.64911246;2.266865938;22.31116676;8.379666328;50.74894714;291.3086853;30.07600021;13.56400013;16.51200104;25.81733322;18.75266647;25.81733322;18.75266647;1657;246;69;44.45455933;677;223;677;223;1.17900002;76;143.7088013
Sapajus_nigritus;-26.16795849;-48.66507271;F;Forest;AF;19;8.302357347;2.116539492;20.72745132;7.514705658;47.63236618;291.6759033;28.51764679;12.74117661;15.77647018;24.47352982;17.33823395;24.47352982;17.33823395;1823;269;82;39.61027145;730;266;730;266;1.011;80;152.603952
Sapajus_robustus;-17.50178139;-39.33456198;F;Forest;AF;18;8.429494703;2.130603511;24.48583412;8.413000107;64.91512299;162.085144;30.88800049;17.9279995;12.96000099;24.92666626;22.41799927;26.41600037;22.41799927;1358;162;73;22.57325935;429;263;333;263;1.087000012;81;84.57080078
Sapajus_robustus;-17.97675;-39.9635547;F;Forest;AF;18;8.550178489;2.145952159;24.01099968;9.584667206;64.95436859;175.0557098;31.13599968;16.37999916;14.75600052;25.29199982;21.69933319;26.06399918;21.69933319;1237;162;55;37.95938873;465;183;357;183;1.087000012;80;65.82479858
Sapajus_robustus;-18.91351598;-42.0949177;F;Forest;AF;18;9.599294094;2.261647542;23.86283302;11.76699924;66.64589691;189.8574677;31.92399979;14.26799965;17.65600014;25.28800011;21.26133347;26.02733421;21.26133347;1179;221;16;77.32046509;622;55;442;55;0.907999992;76;77.75279999
Sapajus_xanthosternos;-10.47489842;-40.13617757;F;Forest;AF;8;8.957553557;2.192497149;23.59233284;10.80133343;71.2677002;162.8195648;31.23600006;16.07999992;15.15600014;24.69933319;22.82600021;25.10599899;21.26733398;789;107;23;40.83911896;282;86;260;149;0.250999987;66;28.40979958
Sapajus_xanthosternos;-15.82023157;-39.09758308;F;Forest;AF;8;9.357351519;2.236162293;24.11133385;7.484666824;63.19374084;158.5652313;29.77199936;17.9279995;11.84399986;24.53666687;23.08799934;25.8920002;22.12999916;1518;152;101;12.67980003;408;328;361;373;1.001999974;81;73.78019714
